search_term,categoria_emporium,nombre,precio_raw,precio_usd,categoria_gama,url,availability,scraped_at
pollo entero,03CARN,"MUSLO DE POLLO ENTERO 1,100 KG","Ref. 3,96",3.96,,https://gamaenlinea.com/es/muslo-pollo-entero-1100-kg/p/26010503,Available,2026-02-21T17:20:56.987640
pollo entero,03CARN,"POLLO ENTERO CONGELADO SUPER POLLO 2,5 KG","Ref. 11,13",11.13,,https://gamaenlinea.com/es/pollo-entero-congelado-super-pollo-25-kg/p/26011343,Available,2026-02-21T17:20:57.158920
pollo entero,03CARN,"POLLO ENTERO CONGELADO SAN JOSE 1,700 KG","Ref. 6,78",6.78,,https://gamaenlinea.com/es/pollo-entero-congelado-san-jose-1700-kg/p/26011233,Available,2026-02-21T17:20:57.286225
pollo entero,03CARN,PASTEL POLLO GAMA 1 UN,"Ref. 2,85",2.85,,https://gamaenlinea.com/es/pastel-pollo-gama-1-un/p/29008750,Available,2026-02-21T17:20:57.416775
pollo entero,03CARN,PALMITOS ENTEROS EN CONSERVA GAMA 400 GR,"Ref. 3,07",3.07,,https://gamaenlinea.com/es/palmitos-enteros-conserva-gama-400-gr/p/10035962,Available,2026-02-21T17:20:57.583060
carne premium,03CARN,PASTA CODITO PREMIUM CAPRI 1 KG,"Ref. 2,36",2.36,,https://gamaenlinea.com/es/pasta-codito-premium-capri-1-kg/p/10006315,Available,2026-02-21T17:21:27.564981
carne premium,03CARN,PASTA TORNILLO CAPRI PREMIUM 1 KG,"Ref. 2,42",2.42,,https://gamaenlinea.com/es/pasta-tornillo-capri-premium-1-kg/p/10006328,Available,2026-02-21T17:21:27.682113
carne premium,03CARN,PASTA PREMIUM DEDAL CAPRI 1 KG,"Ref. 2,42",2.42,,https://gamaenlinea.com/es/pasta-premium-dedal-capri-1-kg/p/10000191,Available,2026-02-21T17:21:27.804104
carne premium,03CARN,PASTA PLUMA CAPRI PREMIUM 1 KG,"Ref. 2,42",2.42,,https://gamaenlinea.com/es/pasta-pluma-capri-premium-1-kg/p/10008046,Available,2026-02-21T17:21:27.972841
carne premium,03CARN,MAYONESA PREMIUM KRAFT 175 GR,"Ref. 2,96",2.96,,https://gamaenlinea.com/es/mayonesa-premium-kraft-175-gr/p/10000435,Available,2026-02-21T17:21:28.093257
solomo molido,03CARN,CHURRASCO DE SOLOMO 1 KG,"Ref. 12,99",12.99,,https://gamaenlinea.com/es/churrasco-solomo-1-kg/p/26010075,Available,2026-02-21T17:22:09.369858
solomo molido,03CARN,"CARNE SOLOMO PARRILLERO 1,3 KG","Ref. 16,89",16.89,,https://gamaenlinea.com/es/carne-solomo-parrillero-13-kg/p/26010235,Available,2026-02-21T17:22:09.686242
solomo molido,03CARN,CARNE BISTEC DE SOLOMO 500 GR,"Ref. 6,50",6.5,,https://gamaenlinea.com/es/carne-bistec-solomo-500-gr/p/26010011,Available,2026-02-21T17:22:09.757927
solomo molido,03CARN,ALBONDIGAS DE CARNE DE SOLOMO 500 GR,"Ref. 5,75",5.75,,https://gamaenlinea.com/es/albondigas-carne-solomo-500-gr/p/26010483,Available,2026-02-21T17:22:09.859895
