nombre,precio_bs,precio_usd,precio_raw,categoria_emporium,search_term,url,bcv_rate,scraped_at
POLLO ENTERO XUND,3580.78,8.9,"Bs.3,580.78",03CARN,pollo entero,https://www.plansuarez.com/index.php?route=product/product&product_id=16675&search=pollo+entero,402.3343,2026-02-21T14:16:58.420504
PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1136.31,2.8243,"Bs.1,136.31",03CARN,pollo entero,https://www.plansuarez.com/index.php?route=product/product&product_id=3340,402.3343,2026-02-21T14:16:58.444001
ARCOS DENTALES GALACTIC X30UND,933.42,2.32,Bs.933.42,03CARN,pollo entero,https://www.plansuarez.com/index.php?route=product/product&product_id=10834,402.3343,2026-02-21T14:16:58.493927
HUEVOS EL TUNAL 30UND,2293.31,5.7,"Bs.2,293.31",03CARN,pollo entero,https://www.plansuarez.com/index.php?route=product/product&product_id=12764,402.3343,2026-02-21T14:16:58.519699
CARNE MOLIDA DE PRIMERA MAGRA X KG,5286.67,13.14,"Bs.5,286.67",03CARN,carne molida,https://www.plansuarez.com/index.php?route=product/product&product_id=6439&search=carne+molida,402.3343,2026-02-21T14:17:05.024420
CARNE MOLIDA X KG PLANSUAREZ,3983.11,9.9,"Bs.3,983.11",03CARN,carne molida,https://www.plansuarez.com/index.php?route=product/product&product_id=4592&search=carne+molida,402.3343,2026-02-21T14:17:05.044396
BANDEJA CONTRA MUSLO DE POLLO !700! GR,950.51,2.3625,Bs.950.51,03CARN,muslo pollo,https://www.plansuarez.com/index.php?route=product/product&product_id=11680&search=muslo+pollo,402.3343,2026-02-21T14:17:21.781633
BANDEJA MUSLO DE POLLO 2 UND !900! GR,1303.56,3.24,"Bs.1,303.56",03CARN,muslo pollo,https://www.plansuarez.com/index.php?route=product/product&product_id=19208&search=muslo+pollo,402.3343,2026-02-21T14:17:21.801517
BANDEJA CHULETA AHUMADA !500! G,2923.32,7.2659,"Bs.2,923.32",03CARN,chuleta,https://www.plansuarez.com/index.php?route=product/product&product_id=4650&search=chuleta,402.3343,2026-02-21T14:17:28.511255
CHULETA DE CERDO FRESCA X KG,4003.23,9.95,"Bs.4,003.23",03CARN,chuleta,https://www.plansuarez.com/index.php?route=product/product&product_id=5461&search=chuleta,402.3343,2026-02-21T14:17:28.531116
