feature,importance
unidades_mean_7d,0.4976782
unidades_mean_14d,0.2642708
unidades_mean_30d,0.083575256
unidades_lag_1,0.05672772
es_fin_semana,0.031371824
precio_unitario_usd,0.010003476
unidades_lag_7,0.009316423
unidades_lag_14,0.0053888187
dia_semana,0.004472958
dia_semana_sin,0.0039651566
precio_vs_historico,0.00325514
precio_x_finsemana,0.0022897832
es_quincena,0.0016738568
tipo_promocion,0.001590552
unidades_lag_28,0.0015303681
unidades_min_30d,0.001103811
precio_var_7d,0.0010857488
tiene_promocion,0.0010730914
dia_semana_cos,0.0010309864
precio_var_1d,0.00095361297
unidades_min_14d,0.0009466793
precio_vs_clase,0.0009380425
dia_mes,0.00088064454
es_inicio_mes,0.00084252656
mes,0.0008268483
precio_medio_usd,0.0007761109
variabilidad_demanda,0.0007530702
precio_historico_producto,0.0007343229
semana_año,0.0006855114
unidades_std_30d,0.0006728934
dias_para_fin_mes,0.00066000875
año,0.0006568906
promo_x_finsemana,0.00063250517
unidades_std_14d,0.0006288528
precio_mean_7d,0.00059677527
precio_mean_clase,0.00058369344
unidades_max_14d,0.0005726129
precio_mean_30d,0.00057136186
trimestre,0.00054604554
margen_pct,0.0005354214
mes_cos,0.0005348102
unidades_std_7d,0.000504489
unidades_trend_14d,0.00048512002
unidades_max_30d,0.00044404532
dias_en_promocion,0.00042332578
mes_sin,0.00039778466
dias_desde_promo,0.00037082887
es_fin_mes,0.00031652642
pct_descuento,0.0001247426
es_perecedero,0.0
precio_x_perecedero,0.0
