feature,importance
unidades_mean_7d,4234.904296875
unidades_mean_14d,2164.009765625
unidades_mean_30d,222.66416931152344
unidades_lag_1,141.17919921875
unidades_lag_7,46.5965690612793
unidades_lag_14,28.818052291870117
dia_semana,26.465526580810547
dia_semana_sin,19.008848190307617
precio_x_finsemana,10.533729553222656
es_quincena,7.82273006439209
unidades_lag_28,6.270281791687012
unidades_min_14d,5.442670822143555
precio_var_7d,4.977907657623291
precio_var_1d,4.742790222167969
unidades_min_30d,4.52814245223999
mes,4.46221399307251
tiene_promocion,4.411975860595703
dia_mes,4.411253929138184
precio_unitario_usd,4.2855939865112305
variabilidad_demanda,3.8894379138946533
es_inicio_mes,3.834334373474121
dia_semana_cos,3.689844846725464
año,3.5556674003601074
semana_año,3.5401618480682373
precio_medio_usd,3.462674617767334
precio_mean_clase,3.089463710784912
unidades_std_14d,2.9959750175476074
dias_para_fin_mes,2.836318016052246
unidades_std_30d,2.6095407009124756
es_fin_semana,2.5130555629730225
mes_cos,2.43284010887146
precio_historico_producto,2.4287734031677246
trimestre,2.415661573410034
unidades_trend_14d,2.341318368911743
margen_pct,2.2992570400238037
unidades_std_7d,2.2013890743255615
precio_vs_clase,2.1529853343963623
precio_vs_historico,2.113968849182129
precio_mean_30d,1.9865291118621826
mes_sin,1.97650146484375
precio_mean_7d,1.9471943378448486
unidades_max_14d,1.9233099222183228
unidades_max_30d,1.8177236318588257
dias_desde_promo,1.7735528945922852
dias_en_promocion,1.4976294040679932
promo_x_finsemana,1.20010507106781
tipo_promocion,1.0682564973831177
pct_descuento,1.0060203075408936
es_fin_mes,0.4727133810520172
