feature,mean_abs_shap
unidades_mean_7d,0.30042393132072076
unidades_lag_1,0.22991973048490896
unidades_mean_14d,0.17499871006725784
unidades_mean_30d,0.15712106664163375
unidades_lag_7,0.03688517435319272
dia_semana_sin,0.030986208544132428
precio_var_1d,0.022300204029374444
dia_semana,0.021495846941326446
unidades_min_30d,0.018461521914228004
precio_unitario_usd,0.017888490915376875
precio_mean_clase,0.013409279689506474
dia_mes,0.012417612841468932
dia_semana_cos,0.01233315709845456
unidades_lag_14,0.012266299639736166
unidades_max_30d,0.011770225524399689
precio_mean_30d,0.011475497499818963
variabilidad_demanda,0.011428830924130147
unidades_std_30d,0.011384535102947489
unidades_min_14d,0.010172803986000272
unidades_lag_28,0.010168444676973913
precio_x_finsemana,0.009370020236583773
precio_var_7d,0.008577942373574052
precio_vs_historico,0.008105510524329063
es_fin_semana,0.007504314091326966
unidades_std_14d,0.0068454077115963005
semana_año,0.006800514781017957
dias_para_fin_mes,0.0059391351249668675
margen_pct,0.005927888004335453
es_quincena,0.0058228752613128576
precio_historico_producto,0.005762912498961108
precio_vs_clase,0.005640426684799603
precio_medio_usd,0.005550489939212904
unidades_max_14d,0.005305773502453537
unidades_std_7d,0.004117757450202574
unidades_trend_14d,0.003947622808490742
tiene_promocion,0.0036157460686204877
mes_cos,0.003384940862208534
dias_desde_promo,0.0032338967559933404
mes,0.002894934649453355
mes_sin,0.0023072258141038
precio_mean_7d,0.0019262967419677365
año,0.0012500175261279181
es_inicio_mes,0.00110705236895714
tipo_promocion,0.0008819373786742674
dias_en_promocion,0.000580603793242438
trimestre,0.0005143257462592255
es_fin_mes,0.00012220104209158242
promo_x_finsemana,5.641173465981109e-05
pct_descuento,0.0
es_perecedero,0.0
precio_x_perecedero,0.0
