feature,mean_abs_shap
unidades_mean_7d,0.30556414
unidades_lag_1,0.2413376
unidades_mean_14d,0.1860343
unidades_mean_30d,0.13614081
unidades_lag_7,0.038131803
dia_semana,0.036455326
dia_semana_sin,0.02709473
precio_var_1d,0.021400964
unidades_min_30d,0.020872023
precio_unitario_usd,0.016409049
unidades_lag_14,0.014610927
unidades_std_30d,0.014172813
unidades_lag_28,0.012337198
precio_mean_clase,0.011912989
dia_mes,0.011659494
unidades_min_14d,0.010294841
variabilidad_demanda,0.009662004
precio_var_7d,0.009104181
precio_mean_30d,0.008349975
unidades_std_14d,0.008320016
precio_vs_historico,0.0072469027
dia_semana_cos,0.0069115604
precio_x_finsemana,0.0069083213
es_quincena,0.0068902564
semana_año,0.0068207826
margen_pct,0.005840443
unidades_trend_14d,0.0058149323
dias_para_fin_mes,0.0057938877
unidades_max_14d,0.005468298
es_fin_semana,0.0054198597
precio_vs_clase,0.004723289
unidades_std_7d,0.004607222
precio_historico_producto,0.0040163836
mes,0.0038249462
precio_medio_usd,0.003670985
precio_mean_7d,0.0033888551
tiene_promocion,0.0030509413
dias_desde_promo,0.0030423973
mes_cos,0.0029993847
unidades_max_30d,0.0018392227
mes_sin,0.0017091157
es_inicio_mes,0.001237884
año,0.0011946067
tipo_promocion,0.0010517118
dias_en_promocion,0.00047867364
trimestre,0.0004709339
promo_x_finsemana,0.00014095918
es_fin_mes,5.5358167e-05
pct_descuento,4.6522377e-06
es_perecedero,0.0
precio_x_perecedero,0.0
