feature,mean_abs_shap
unidades_mean_7d,0.4373504
unidades_mean_14d,0.20324475
unidades_lag_1,0.1630812
unidades_mean_30d,0.119296804
dia_semana,0.04702322
precio_var_1d,0.030446418
dia_semana_sin,0.026115354
unidades_lag_7,0.022902275
precio_unitario_usd,0.015922397
dia_mes,0.0125779165
unidades_lag_14,0.011900714
variabilidad_demanda,0.010320311
precio_vs_clase,0.009374796
precio_mean_clase,0.008934061
unidades_lag_28,0.008923621
precio_var_7d,0.008532302
precio_vs_historico,0.007363922
unidades_std_14d,0.007144079
precio_x_finsemana,0.00688938
unidades_std_30d,0.0066864374
unidades_min_30d,0.006340066
es_quincena,0.0062942617
semana_año,0.006268488
margen_pct,0.0058167833
precio_mean_30d,0.0057067014
mes,0.0048253145
precio_historico_producto,0.0046794848
dias_para_fin_mes,0.00447627
unidades_min_14d,0.004450083
unidades_trend_14d,0.0042203595
precio_medio_usd,0.004101613
dia_semana_cos,0.0040538535
tiene_promocion,0.003987526
dias_desde_promo,0.0028339985
unidades_std_7d,0.0027057086
mes_sin,0.0021915021
mes_cos,0.002000474
unidades_max_30d,0.001360405
año,0.0012742367
unidades_max_14d,0.0011526418
precio_mean_7d,0.0010639369
dias_en_promocion,0.0008957334
es_inicio_mes,9.856426e-05
tipo_promocion,7.693434e-05
es_fin_semana,1.3062749e-05
trimestre,1.2154045e-05
promo_x_finsemana,9.202145e-06
pct_descuento,5.0078183e-06
es_fin_mes,2.9534608e-06
es_perecedero,0.0
precio_x_perecedero,0.0
