feature,importance
variabilidad_demanda,5468
precio_var_1d,4542
unidades_lag_1,4310
precio_mean_clase,3932
margen_pct,3789
precio_var_7d,3700
precio_vs_historico,3373
unidades_trend_14d,3155
semana_año,3144
unidades_mean_30d,3011
indice_plansuarez_cat,2911
precio_vs_clase,2808
unidades_mean_7d,2639
unidades_lag_7,2613
unidades_lag_28,2610
dia_mes,2572
unidades_lag_14,2556
unidades_std_7d,2450
unidades_min_30d,2432
unidades_std_30d,2383
unidades_min_14d,2361
precio_medio_usd,2337
dias_para_fin_mes,2327
precio_historico_producto,2218
precio_mean_30d,2196
unidades_std_14d,2095
dia_semana_sin,2020
gap_precio_max_comp,2012
unidades_mean_14d,1969
indice_gama_cat,1962
precio_mean_7d,1771
precio_x_finsemana,1713
dia_semana,1691
unidades_max_30d,1584
dia_semana_cos,1418
unidades_max_14d,1388
competitividad_precio,1225
mes_cos,1212
indice_mercado,1191
precio_unitario_usd,1127
presion_competitiva,1071
mes_sin,1002
mes,910
dias_desde_promo,643
es_quincena,309
año,210
trimestre,154
volatilidad_mercado_7d,128
dias_en_promocion,95
tiene_promocion,75
es_inicio_mes,67
es_fin_semana,58
tipo_promocion,33
es_fin_mes,21
promo_x_finsemana,9
es_perecedero,0
pct_descuento,0
precio_x_perecedero,0
es_feriado,0
