competidor,categoria,nombre_comp,nombre_comp_norm,nombre_emporium,nombre_emporium_norm,match_score,precio_comp_raw_usd,precio_comp_norm_usd,precio_emporium_usd,price_adjustment,ratio,search_term
gama,08FRUV,"CAMBUR MANZANO 1,300 KG",cambur manzano,CAMBUR MANZANO,cambur manzano,100.0,1.63,1.2538,1.45,scaled 1.300kg→1kg,0.8647,cambur
gama,08FRUV,CEBOLLA MORADA 500 GR,cebolla morada,CEBOLLA MORADA,cebolla morada,100.0,1.87,3.74,1.89,scaled 0.500kg→1kg,1.9788,cebolla
gama,05CHAR,QUESO MOZZARELLA SANTA MARIA 300 KG,queso mozzarella santa maria,QUESO MOZZARELLA SANTA MARIA,queso mozzarella santa maria,100.0,5.1,0.017,16.79,scaled 300.000kg→1kg,0.001,queso mozzarella
gama,08FRUV,"CAMBUR 1,300 KG",cambur,CAMBUR,cambur,100.0,1.63,1.2538,1.05,scaled 1.300kg→1kg,1.1941,cambur
gama,05CHAR,QUESO MOZZARELLA PAISA 300 GR,queso mozzarella paisa,QUESO MOZZARELA PAISA,queso mozzarela paisa,97.67441860465115,7.47,24.9,23.45,scaled 0.300kg→1kg,1.0618,queso mozzarella
gama,08FRUV,ENSALADA DE LECHUGA MIXTA HIDROPONIAS 150 GR,ensalada de lechuga mixta hidroponias,ENSALADA HIDROPONIAS LECHUGA MIXTA 150GR,ensalada hidroponias lechuga mixta,95.77464788732395,3.25,3.25,2.99,no_adjustment,1.087,lechuga
gama,08FRUV,BRÓCOLI EN BANDEJA HIDROPONIAS 300 GR,brocoli en bandeja hidroponias,BROCOLI HIDROPONIAS BANDEJA 300GR,brocoli hidroponias bandeja,94.73684210526316,4.3,4.3,3.99,no_adjustment,1.0777,brocoli
gama,03CARN,PECHUGA DE POLLO CON HUESO 1 KG,pechuga de pollo con hueso,PECHUGA DE POLLO CON HUESO KG,pechuga de pollo con hueso kg,94.54545454545455,5.99,5.99,3.19,no_adjustment,1.8777,pechuga pollo
gama,05CHAR,QUESO MOZZARELLA NAPOLITANA 300 GR,queso mozzarella napolitana,QUESO MOZZARELA NAPOLITANO,queso mozzarela napolitano,94.33962264150944,6.86,22.8667,19.5498,scaled 0.300kg→1kg,1.1697,queso mozzarella
gama,05CHAR,JAMON PIERNA MILLENNIUM 300 GR,jamon pierna millennium,JAMON PIERNA MILLENNIUM KG,jamon pierna millennium kg,93.87755102040816,4.16,13.8667,10.3795,scaled 0.300kg→1kg,1.336,pierna lechon
gama,08FRUV,"PLATANOS 1,500 KG",platanos,PLATANO,platano,93.33333333333333,4.13,2.7533,2.59,scaled 1.500kg→1kg,1.0631,platano
gama,05CHAR,MORTADELA ESPECIAL PLUMROSE 1 KG,mortadela especial plumrose,MORTADELA PLUMPROSE ESPECIAL KG,mortadela plumprose especial kg,93.10344827586206,4.69,4.69,3.59,no_adjustment,1.3064,mortadela
gama,08FRUV,LECHUGA CRIOLLA 400 GR,lechuga criolla,LECHUGA CRIOLLA KG,lechuga criolla kg,90.9090909090909,1.5,3.75,1.99,scaled 0.400kg→1kg,1.8844,lechuga
gama,03CARN,TOMAHAWK DE RES 1 KG,tomahawk de res,TOMAHAWK DE RES KG,tomahawk de res kg,90.9090909090909,16.99,16.99,16.9899,no_adjustment,1.0,costilla res
gama,03CARN,COSTILLA DE RES 1 KG,costilla de res,COSTILLA DE RES KG,costilla de res kg,90.9090909090909,7.29,7.29,7.9899,no_adjustment,0.9124,costilla res
gama,08FRUV,PIMENTÓN LARGO 500 GR,pimenton largo,PIMENTON LARGO KG,pimenton largo kg,90.32258064516128,1.8,3.6,2.69,scaled 0.500kg→1kg,1.3383,pimenton
gama,05CHAR,QUESO MERIDEÑO 500 GR,queso merideno,QUESO MERIDEÑO KG,queso merideno kg,90.32258064516128,5.0,10.0,7.3501,scaled 0.500kg→1kg,1.3605,queso merideño
gama,08FRUV,TOMATE PERITA 700 GR,tomate perita,TOMATE PERITA KG,tomate perita kg,89.65517241379311,1.09,1.5571,1.09,scaled 0.700kg→1kg,1.4286,tomate
gama,08FRUV,LECHUGA AMERICANA 500 GR,lechuga americana,LECHUGA AMERICANA UND,lechuga americana und,89.47368421052632,1.5,3.0,0.89,scaled 0.500kg→1kg,3.3708,lechuga
