producto_id,clase,margin_base,margin_opt,revenue_base,revenue_opt,p_base_mean,p_opt_mean,n_days,margin_gap,margin_gap_pct
0309020005,03CARN     ,683636.03,984515.32,1252094.25,1517431.55,12.76,16.49,736,300879.29,44.01
0308010001,03CARN     ,239628.0,433030.55,724995.4,890443.04,3.58,4.66,736,193402.55,80.71
0309020020,03CARN     ,271599.36,418736.41,605544.71,730940.4,10.26,13.25,736,147137.05,54.17
0509060001,05CHAR     ,173469.32,314573.22,526840.97,649656.5,7.41,9.63,736,141103.9,81.34
0308020003,03CARN     ,183379.24,320961.62,503457.3,628605.73,4.41,5.72,736,137582.38,75.03
0308050006,03CARN     ,208445.41,342342.04,532466.46,645963.02,8.83,11.42,736,133896.63,64.24
0802050003,08FRUV     ,185852.45,302969.92,458776.71,562856.68,2.04,2.64,736,117117.47,63.02
0806010011,08FRUV     ,91217.49,176136.86,310662.67,387680.09,1.92,2.5,736,84919.37,93.1
0802020012,08FRUV     ,79813.79,161541.03,281810.29,360664.36,2.04,2.67,736,81727.24,102.4
0509060004,05CHAR     ,98045.88,176185.93,290885.27,359442.37,7.44,9.66,732,78140.05,79.7
0802010026,08FRUV     ,-68398.31,4346.02,23964.63,89674.5,1.32,5.03,736,72744.33,727443300.0
0301040001,03CARN     ,124930.92,191908.68,290018.96,345342.31,9.45,12.11,734,66977.76,53.61
0509060008,05CHAR     ,57544.53,118044.83,217418.8,272535.69,10.64,13.82,735,60500.3,105.14
0308050008,03CARN     ,108021.66,167423.51,252947.63,301104.45,9.69,12.51,736,59401.85,54.99
0509130025,05CHAR     ,79542.57,135032.63,206937.22,256019.66,8.84,11.46,730,55490.06,69.76
0301020003,03CARN     ,159987.44,214953.02,267997.97,314110.46,9.3,11.9,734,54965.58,34.36
0309020017,03CARN     ,140185.17,191158.29,234123.65,276997.76,13.52,17.5,736,50973.12,36.36
0309020007,03CARN     ,19979.05,70825.95,183715.93,228649.61,6.31,8.19,732,50846.9,254.5
0308020001,03CARN     ,70673.95,118115.61,172848.11,216446.83,5.44,7.07,726,47441.66,67.13
0806010006,08FRUV     ,61917.6,109029.84,169484.81,212677.06,1.68,2.18,736,47112.24,76.09
0803010032,08FRUV     ,47681.35,93732.83,164652.26,207408.46,2.29,2.98,736,46051.48,96.58
0509100021,05CHAR     ,63338.88,107750.85,176088.06,214498.82,14.19,18.32,735,44411.97,70.12
0802050001,08FRUV     ,38826.75,80540.72,147246.36,185584.26,1.0,1.3,736,41713.97,107.44
0309020011,03CARN     ,97759.35,137251.41,173835.27,207583.2,12.77,16.49,731,39492.06,40.4
0504030034,05CHAR     ,41888.81,77568.0,136817.27,166744.95,9.14,11.86,726,35679.19,85.18
0802010002,08FRUV     ,-22592.63,11926.76,106858.14,141568.46,1.74,2.29,736,34519.39,345193900.0
0309020004,03CARN     ,64894.63,98468.58,141089.51,169640.05,10.04,12.92,734,33573.95,51.74
0802010012,08FRUV     ,34936.17,67275.89,115217.6,145564.27,1.99,2.59,736,32339.72,92.57
0802020008,08FRUV     ,41817.65,73716.59,116641.02,145632.76,2.67,3.48,736,31898.94,76.28
0509150023,05CHAR     ,36968.29,64168.12,98382.54,123327.4,9.47,12.28,722,27199.83,73.58
0308030001,03CARN     ,40488.62,67198.27,97495.89,121917.73,3.49,4.54,720,26709.65,65.97
0308020004,03CARN     ,28890.11,55273.78,105658.39,126277.44,6.09,7.87,704,26383.67,91.32
0504040033,05CHAR     ,31265.83,56924.58,102905.58,123076.74,7.34,9.52,736,25658.75,82.07
0802010024,08FRUV     ,37652.94,63167.12,90865.28,114831.86,1.23,1.6,736,25514.18,67.76
0508010001,05CHAR     ,-25327.1,74.95,33710.97,54542.89,3.44,6.05,736,25402.05,254020500.0
0806010002,08FRUV     ,-24347.58,900.82,26061.88,49527.92,1.81,3.42,735,25248.4,252484000.0
0309020003,03CARN     ,43600.05,67661.06,94579.12,115895.79,9.98,12.91,725,24061.01,55.19
0509070007,05CHAR     ,31140.77,54156.83,85839.7,106577.95,13.18,17.09,624,23016.06,73.91
0309020002,03CARN     ,50363.57,72227.64,95974.38,114139.92,12.08,15.62,559,21864.07,43.41
0805010061,08FRUV     ,28387.74,48551.09,75319.67,93342.33,4.43,5.75,709,20163.35,71.03
0509130028,05CHAR     ,26132.12,44845.34,67976.42,85218.85,9.98,12.95,719,18713.22,71.61
0509100025,05CHAR     ,23305.48,40915.21,65168.77,80693.61,11.93,15.49,731,17609.73,75.56
0502080091,05CHAR     ,18029.71,35066.1,64542.56,78725.01,4.5,5.84,733,17036.39,94.49
0806010013,08FRUV     ,23762.34,40693.75,59779.05,76147.34,1.49,1.94,736,16931.41,71.25
0802010017,08FRUV     ,-15055.25,1627.57,17323.26,33743.5,1.44,2.46,341,16682.82,166828200.0
0802010015,08FRUV     ,-9935.31,5808.75,37721.02,52914.78,2.62,3.66,732,15744.06,157440600.0
0504030005,05CHAR     ,17169.08,32145.25,56724.25,69464.65,8.48,11.0,735,14976.17,87.23
0308030003,03CARN     ,21686.69,36558.63,54626.03,68163.14,3.4,4.42,708,14871.94,68.58
0309020008,03CARN     ,14224.62,28754.69,55011.91,67178.39,7.29,9.41,725,14530.07,102.15
0301040003,03CARN     ,22151.25,36283.91,56846.14,69486.89,10.66,13.65,699,14132.66,63.8
