clase,mes,p_base_mean,p_opt_mean,delta_price_mean,revenue_base,revenue_opt,delta_revenue_pct
03CARN     ,2025-07,7.0773,9.0886,28.5724,1077319.36,1308777.0,21.4846
03CARN     ,2025-08,7.3241,9.4267,28.7657,1155655.07,1400562.62,21.1921
03CARN     ,2025-09,7.782,10.0297,29.013,1181160.61,1445983.5,22.4206
03CARN     ,2025-10,8.5196,11.0005,29.5516,1222171.08,1493170.02,22.1736
03CARN     ,2025-11,8.298,10.7275,29.4212,1131678.58,1366291.3,20.7314
03CARN     ,2025-12,8.3994,10.8479,29.391,1297655.0,1570445.72,21.0218
05CHAR     ,2025-07,9.8575,12.6164,29.0789,603032.94,737780.2,22.3449
05CHAR     ,2025-08,10.0908,12.9648,29.3869,649546.5,794383.84,22.2982
05CHAR     ,2025-09,10.501,13.5243,29.6249,686226.03,844741.74,23.0996
05CHAR     ,2025-10,11.2466,14.5173,29.8612,723225.55,893884.12,23.5969
05CHAR     ,2025-11,11.5413,14.8765,29.541,710855.36,874600.38,23.0349
05CHAR     ,2025-12,11.4762,14.7936,29.6397,758847.06,925771.91,21.9972
08FRUV     ,2025-07,5.9407,7.75,33.1259,684136.86,889788.38,30.06
08FRUV     ,2025-08,6.0181,7.8543,33.4608,703324.13,912535.14,29.746
08FRUV     ,2025-09,6.2232,8.1185,32.2277,670912.43,862757.91,28.5947
08FRUV     ,2025-10,6.6913,8.7249,31.6144,682751.45,872754.77,27.8291
08FRUV     ,2025-11,6.6975,8.7311,32.0961,669426.36,856729.88,27.9797
08FRUV     ,2025-12,6.6783,8.7133,32.6281,754491.05,959957.99,27.2325
