producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0309020005,03CARN     ,1380425.54,832207.01,736,60.29
0309020020,03CARN     ,670710.98,347318.57,736,51.78
0308010001,03CARN     ,801964.74,334478.54,736,41.71
0308050006,03CARN     ,591989.63,277861.73,736,46.94
0308020003,03CARN     ,563348.39,251375.67,736,44.62
0802050003,08FRUV     ,509768.34,243705.07,736,47.81
0509060001,05CHAR     ,585830.53,243671.66,736,41.59
0301020003,03CARN     ,292360.5,189277.49,734,64.74
0309020017,03CARN     ,255063.71,164245.32,736,64.39
0301040001,03CARN     ,321966.83,161682.15,734,50.22
0308050008,03CARN     ,277147.38,137042.06,736,49.45
0509060004,05CHAR     ,324200.17,136829.83,732,42.21
0806010011,08FRUV     ,349693.77,133925.72,736,38.3
0802020012,08FRUV     ,329435.1,127602.84,736,38.73
0309020011,03CARN     ,189712.16,116719.27,731,61.52
0509130025,05CHAR     ,228283.79,105674.99,730,46.29
0308020001,03CARN     ,193361.12,93948.46,726,48.59
0509060008,05CHAR     ,242740.9,86880.46,735,35.79
0509100021,05CHAR     ,194712.08,85311.64,735,43.81
0806010006,08FRUV     ,190379.48,85210.07,736,44.76
0309020004,03CARN     ,155030.22,81825.26,734,52.78
0803010032,08FRUV     ,189668.58,73931.19,736,38.98
0309020002,03CARN     ,104159.12,60532.96,559,58.12
0504030034,05CHAR     ,152047.72,59649.83,726,39.23
0802050001,08FRUV     ,166450.4,59615.7,736,35.82
0802020008,08FRUV     ,130203.38,57274.65,736,43.99
0309020003,03CARN     ,104816.09,55624.15,725,53.07
0308030001,03CARN     ,109122.22,53741.57,720,49.25
0802010012,08FRUV     ,130592.61,51648.39,736,39.55
0802010024,08FRUV     ,102558.42,50242.85,736,48.99
0309020007,03CARN     ,210765.58,50029.61,732,23.74
0509150023,05CHAR     ,109715.15,49999.96,722,45.57
0301020004,03CARN     ,70624.43,49551.54,538,70.16
0309030003,03CARN     ,57980.09,47535.27,502,81.99
0504040033,05CHAR     ,111632.05,43332.75,736,38.82
0509070007,05CHAR     ,95674.38,42115.33,624,44.02
0308020004,03CARN     ,115495.06,41861.66,704,36.25
0309020010,03CARN     ,54776.85,39407.78,491,71.94
0805010061,08FRUV     ,84780.22,38759.36,709,45.72
0301020010,03CARN     ,55179.84,38245.44,311,69.31
0509130028,05CHAR     ,75379.72,34681.26,719,46.01
0509100025,05CHAR     ,72662.49,32099.58,731,44.18
0806010013,08FRUV     ,67596.68,32032.44,736,47.39
0509110001,05CHAR     ,54907.46,31494.97,734,57.36
0308030003,03CARN     ,61130.45,29022.84,708,47.48
0301040003,03CARN     ,63005.49,28791.94,699,45.7
0506010001,05CHAR     ,43640.46,26918.92,538,61.68
0502080091,05CHAR     ,71107.28,26367.5,733,37.08
0802040020,08FRUV     ,44817.01,25326.6,731,56.51
0501040013,05CHAR     ,65066.53,25121.28,615,38.61
0802040006,08FRUV     ,41014.24,24758.18,731,60.36
0504030005,05CHAR     ,63636.44,24726.61,735,38.86
0309020015,03CARN     ,34915.86,24556.74,435,70.33
