clase,dia_semana,delta_revenue_mean,delta_price_mean,elasticity_mean,n
03CARN     ,0,11.8376,14.2698,-0.2945,6073
03CARN     ,1,11.9986,14.3261,-0.3189,6328
03CARN     ,2,12.0725,14.3338,-0.3449,6394
03CARN     ,3,11.6326,14.1176,-0.3447,6332
03CARN     ,4,11.5548,14.1679,-0.3564,6923
03CARN     ,5,12.4788,14.6329,-0.2836,7416
03CARN     ,6,12.5583,14.7369,-0.2565,7012
05CHAR     ,0,12.1259,14.569,-0.3112,13367
05CHAR     ,1,12.3375,14.7195,-0.2976,13764
05CHAR     ,2,12.7867,14.3864,-0.3237,13764
05CHAR     ,3,12.4492,14.2763,-0.3438,13304
05CHAR     ,4,12.4374,14.6492,-0.3307,14034
05CHAR     ,5,12.8791,14.9225,-0.2856,14683
05CHAR     ,6,13.0444,15.19,-0.2554,14061
08FRUV     ,0,16.6456,18.258,-0.1522,18311
08FRUV     ,1,16.3617,17.8341,-0.1538,18438
08FRUV     ,2,16.3377,17.7829,-0.1495,18871
08FRUV     ,3,16.2968,17.5907,-0.1566,19285
08FRUV     ,4,16.1201,17.5123,-0.1531,19725
08FRUV     ,5,16.8764,17.9987,-0.1503,20605
08FRUV     ,6,16.9689,18.2082,-0.1438,19660
