producto_id,clase,margin_base,margin_opt,revenue_base,revenue_opt,p_base_mean,p_opt_mean,n_days,margin_gap,margin_gap_pct
0309020005,03CARN     ,683636.03,832207.01,1252094.25,1380425.54,12.76,14.54,736,148570.98,21.73
0308010001,03CARN     ,239628.0,334478.54,724995.4,801964.74,3.58,4.11,736,94850.54,39.58
0309020020,03CARN     ,271599.36,347318.57,605544.71,670710.98,10.26,11.72,736,75719.21,27.88
0802010026,08FRUV     ,-68398.31,3560.12,23964.63,88936.06,1.32,4.98,736,71958.43,719584300.0
0509060001,05CHAR     ,173469.32,243671.66,526840.97,585830.53,7.41,8.51,736,70202.34,40.47
0308050006,03CARN     ,208445.41,277861.73,532466.46,591989.63,8.83,10.12,736,69416.32,33.3
0308020003,03CARN     ,183379.24,251375.67,503457.3,563348.39,4.41,5.06,736,67996.43,37.08
0802050003,08FRUV     ,185852.45,243705.07,458776.71,509768.34,2.04,2.33,736,57852.62,31.13
0802020012,08FRUV     ,79813.79,127602.84,281810.29,329435.1,2.04,2.39,736,47789.05,59.88
0806010011,08FRUV     ,91217.49,133925.72,310662.67,349693.77,1.92,2.21,736,42708.23,46.82
0509060004,05CHAR     ,98045.88,136829.83,290885.27,324200.17,7.44,8.53,732,38783.95,39.56
0301040001,03CARN     ,124930.92,161682.15,290018.96,321966.83,9.45,10.8,734,36751.23,29.42
0309020007,03CARN     ,19979.05,50029.61,183715.93,210765.58,6.31,7.34,732,30050.56,150.41
0509060008,05CHAR     ,57544.53,86880.46,217418.8,242740.9,10.64,12.2,735,29335.93,50.98
0301020003,03CARN     ,159987.44,189277.49,267997.97,292360.5,9.3,10.66,734,29290.05,18.31
0308050008,03CARN     ,108021.66,137042.06,252947.63,277147.38,9.69,10.99,736,29020.4,26.87
0803010032,08FRUV     ,47681.35,73931.19,164652.26,189668.58,2.29,2.66,736,26249.84,55.05
0509130025,05CHAR     ,79542.57,105674.99,206937.22,228283.79,8.84,10.12,730,26132.42,32.85
0802010002,08FRUV     ,-22592.63,3512.75,106858.14,133777.11,1.74,2.15,736,26105.38,261053800.0
0508010001,05CHAR     ,-25327.1,74.95,33710.97,54542.89,3.44,6.05,736,25402.05,254020500.0
0806010002,08FRUV     ,-24347.58,515.74,26061.88,49190.66,1.81,3.37,735,24863.32,248633200.0
0309020017,03CARN     ,140185.17,164245.32,234123.65,255063.71,13.52,15.26,736,24060.15,17.16
0806010006,08FRUV     ,61917.6,85210.07,169484.81,190379.48,1.68,1.93,736,23292.47,37.62
0308020001,03CARN     ,70673.95,93948.46,172848.11,193361.12,5.44,6.25,726,23274.51,32.93
0509100021,05CHAR     ,63338.88,85311.64,176088.06,194712.08,14.19,16.22,735,21972.76,34.69
0802050001,08FRUV     ,38826.75,59615.7,147246.36,166450.4,1.0,1.14,736,20788.95,53.54
0309020011,03CARN     ,97759.35,116719.27,173835.27,189712.16,12.77,14.57,731,18959.92,19.39
0504030034,05CHAR     ,41888.81,59649.83,136817.27,152047.72,9.14,10.43,726,17761.02,42.4
0309020004,03CARN     ,64894.63,81825.26,141089.51,155030.22,10.04,11.48,734,16930.63,26.09
0802010012,08FRUV     ,34936.17,51648.39,115217.6,130592.61,1.99,2.3,736,16712.22,47.84
0802010017,08FRUV     ,-15055.25,812.31,17323.26,32986.44,1.44,2.34,341,15867.56,158675600.0
0802020008,08FRUV     ,41817.65,57274.65,116641.02,130203.38,2.67,3.07,736,15457.0,36.96
0802010015,08FRUV     ,-9935.31,3916.52,37721.02,51195.63,2.62,3.5,732,13851.83,138518300.0
0308030001,03CARN     ,40488.62,53741.57,97495.89,109122.22,3.49,4.02,720,13252.95,32.73
0509150023,05CHAR     ,36968.29,49999.96,98382.54,109715.15,9.47,10.85,722,13031.67,35.25
0308020004,03CARN     ,28890.11,41861.66,105658.39,115495.06,6.09,6.95,704,12971.55,44.9
0802010024,08FRUV     ,37652.94,50242.85,90865.28,102558.42,1.23,1.41,736,12589.91,33.44
0802010030,08FRUV     ,-12036.14,40.61,11225.8,23242.75,3.2,6.45,734,12076.75,120767500.0
0504040033,05CHAR     ,31265.83,43332.75,102905.58,111632.05,7.34,8.36,736,12066.92,38.59
0309020003,03CARN     ,43600.05,55624.15,94579.12,104816.09,9.98,11.45,725,12024.1,27.58
0509070007,05CHAR     ,31140.77,42115.33,85839.7,95674.38,13.18,15.06,624,10974.56,35.24
0805010061,08FRUV     ,28387.74,38759.36,75319.67,84780.22,4.43,5.09,709,10371.62,36.54
0309020002,03CARN     ,50363.57,60532.96,95974.38,104159.12,12.08,13.77,559,10169.39,20.19
0509100025,05CHAR     ,23305.48,32099.58,65168.77,72662.49,11.93,13.7,731,8794.1,37.73
0802010020,08FRUV     ,2909.79,11689.84,45294.85,53317.96,2.28,2.7,736,8780.05,301.74
0509130028,05CHAR     ,26132.12,34681.26,67976.42,75379.72,9.98,11.38,719,8549.14,32.72
0508010002,05CHAR     ,-8350.04,55.43,28320.38,35118.93,6.03,7.82,735,8405.47,84054700.0
0502080091,05CHAR     ,18029.71,26367.5,64542.56,71107.28,4.5,5.15,733,8337.79,46.24
0806010013,08FRUV     ,23762.34,32032.44,59779.05,67596.68,1.49,1.72,736,8270.1,34.8
0501040013,05CHAR     ,17377.67,25121.28,57988.93,65066.53,15.08,17.21,615,7743.61,44.56
