clase,mes,p_base_mean,p_opt_mean,delta_price_mean,revenue_base,revenue_opt,delta_revenue_pct
03CARN     ,2025-07,7.0773,8.0546,14.1095,1077319.36,1194768.4,10.902
03CARN     ,2025-08,7.3241,8.3255,13.8044,1155655.07,1279419.94,10.7095
03CARN     ,2025-09,7.782,8.8721,14.1023,1181160.61,1313786.21,11.2284
03CARN     ,2025-10,8.5196,9.7459,14.9024,1222171.08,1352448.28,10.6595
03CARN     ,2025-11,8.298,9.484,14.6507,1131678.58,1245247.95,10.0355
03CARN     ,2025-12,8.3994,9.5989,14.6411,1297655.0,1430102.56,10.2067
05CHAR     ,2025-07,9.8575,11.2063,14.615,603032.94,677452.85,12.3409
05CHAR     ,2025-08,10.0908,11.4949,14.7021,649546.5,727358.7,11.9795
05CHAR     ,2025-09,10.501,11.9756,14.7388,686226.03,766652.19,11.7201
05CHAR     ,2025-10,11.2466,12.8229,14.6094,723225.55,806881.29,11.567
05CHAR     ,2025-11,11.5413,13.1585,14.6142,710855.36,789860.52,11.1141
05CHAR     ,2025-12,11.4762,13.0866,14.795,758847.06,841919.79,10.9472
08FRUV     ,2025-07,5.9407,6.8682,18.6087,684136.86,804888.19,17.6502
08FRUV     ,2025-08,6.0181,6.9567,18.8428,703324.13,825166.43,17.3238
08FRUV     ,2025-09,6.2232,7.1833,17.4634,670912.43,780144.99,16.2812
08FRUV     ,2025-10,6.6913,7.7189,16.8309,682751.45,790737.49,15.8163
08FRUV     ,2025-11,6.6975,7.7285,17.4405,669426.36,778909.77,16.3548
08FRUV     ,2025-12,6.6783,7.7168,18.0728,754491.05,873111.74,15.7219
