producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0309020005,03CARN     ,1306549.0,735289.26,736,56.28
0309020020,03CARN     ,622485.75,290935.66,736,46.74
0308010001,03CARN     ,742702.12,265075.01,736,35.69
0308050006,03CARN     ,547900.48,226751.53,736,41.39
0308020003,03CARN     ,520499.13,203125.43,736,39.03
0802050003,08FRUV     ,472600.81,201947.32,736,42.73
0509060001,05CHAR     ,541228.66,191896.14,736,35.46
0301020003,03CARN     ,268549.63,163620.03,734,60.93
0309020017,03CARN     ,242026.57,148025.94,736,61.16
0301040001,03CARN     ,298183.58,134772.58,734,45.2
0308050008,03CARN     ,262162.74,117950.94,736,44.99
0509060004,05CHAR     ,300183.43,108851.91,732,36.26
0802020012,08FRUV     ,307528.92,103742.49,736,33.73
0806010011,08FRUV     ,322394.08,103654.03,736,32.15
0309020011,03CARN     ,179100.7,103256.83,731,57.65
0509130025,05CHAR     ,211042.7,85893.3,730,40.7
0308020001,03CARN     ,178120.56,76818.29,726,43.13
0309020004,03CARN     ,144783.08,69697.08,734,48.14
0806010006,08FRUV     ,175941.75,68918.91,736,39.17
0509100021,05CHAR     ,181359.05,67982.35,735,37.48
0509060008,05CHAR     ,224764.13,65653.23,735,29.21
0803010032,08FRUV     ,178207.54,60904.42,736,34.18
0309020002,03CARN     ,98165.24,53014.23,559,54.01
0504030034,05CHAR     ,142404.53,47957.95,726,33.68
0309020003,03CARN     ,96951.33,46692.27,725,48.16
0802020008,08FRUV     ,120787.91,46401.12,736,38.42
0802050001,08FRUV     ,153919.99,45616.75,736,29.64
0308030001,03CARN     ,100105.06,44103.96,720,44.06
0301020004,03CARN     ,65036.59,43559.81,538,66.98
0309030003,03CARN     ,53252.38,42589.43,502,79.98
0802010012,08FRUV     ,121288.85,41553.8,736,34.26
0802010024,08FRUV     ,94112.54,41424.97,736,44.02
0509150023,05CHAR     ,100786.92,40029.7,722,39.72
0309020007,03CARN     ,198663.04,35593.04,732,17.92
0309020010,03CARN     ,50755.79,35109.05,491,69.17
0504040033,05CHAR     ,105720.69,34064.05,736,32.22
0301020010,03CARN     ,51608.02,33843.93,311,65.58
0509070007,05CHAR     ,89238.97,33780.91,624,37.85
0308020004,03CARN     ,107609.02,31433.9,704,29.21
0805010061,08FRUV     ,77903.7,31089.71,709,39.91
0509130028,05CHAR     ,69896.45,28067.02,719,40.16
0509110001,05CHAR     ,52302.25,28002.22,734,53.54
0806010013,08FRUV     ,61976.01,26307.46,736,42.45
0509100025,05CHAR     ,67274.4,25777.82,731,38.32
0301040003,03CARN     ,59601.44,24427.72,699,40.99
0308030003,03CARN     ,56005.32,23563.16,708,42.07
0506010001,05CHAR     ,40651.7,23358.89,538,57.46
0309020015,03CARN     ,32799.15,21996.91,435,67.07
0802040020,08FRUV     ,41269.15,21391.62,731,51.83
0802040006,08FRUV     ,37865.5,21331.64,731,56.34
0502080091,05CHAR     ,67087.43,20394.51,733,30.4
0301040002,03CARN     ,47436.78,20026.62,560,42.22
0504030005,05CHAR     ,59256.87,19707.69,735,33.26
0501040013,05CHAR     ,60283.02,19222.77,615,31.89
0509150008,05CHAR     ,49186.48,19105.56,724,38.84
0802040023,08FRUV     ,38248.36,18331.0,713,47.93
0803010012,08FRUV     ,38940.85,18306.1,736,47.01
0504040022,05CHAR     ,51590.29,18166.74,735,35.21
0309040003,03CARN     ,40158.04,18036.03,327,44.91
0504040030,05CHAR     ,49747.73,17984.21,719,36.15
0301020002,03CARN     ,32839.57,17870.79,210,54.42
0504040012,05CHAR     ,49573.81,17248.93,735,34.79
0509130023,05CHAR     ,45215.15,17007.18,732,37.61
0309040007,03CARN     ,21593.88,16788.1,181,77.74
0301020005,03CARN     ,29369.11,16141.54,393,54.96
0309020008,03CARN     ,56460.21,15796.91,725,27.98
0309040010,03CARN     ,26083.99,15764.69,562,60.44
0803010051,08FRUV     ,44765.33,15753.95,736,35.19
0308040003,03CARN     ,56142.65,15615.64,733,27.81
0504030042,05CHAR     ,51388.92,15579.85,736,30.32
0802030005,08FRUV     ,44774.76,15488.35,736,34.59
0509090014,05CHAR     ,49033.26,15308.16,514,31.22
0802030006,08FRUV     ,43119.74,15039.1,736,34.88
0802030009,08FRUV     ,36135.65,14658.86,684,40.57
0802030007,08FRUV     ,40464.97,14396.8,735,35.58
0802020001,08FRUV     ,32320.87,14326.39,736,44.33
0309020019,03CARN     ,22276.63,14065.71,288,63.14
0308030002,03CARN     ,40557.59,13965.49,642,34.43
0501040006,05CHAR     ,35810.35,13736.87,701,38.36
0803010027,08FRUV     ,25473.55,13603.58,736,53.4
0309020009,03CARN     ,34202.76,13369.9,680,39.09
0802010025,08FRUV     ,37308.12,13358.25,735,35.81
0308050013,03CARN     ,47307.17,13199.5,726,27.9
0802030010,08FRUV     ,31190.62,13039.31,619,41.81
0504040026,05CHAR     ,38154.78,12905.99,698,33.83
0805010006,08FRUV     ,33175.45,12788.28,606,38.55
0805010116,08FRUV     ,27114.75,12571.15,736,46.36
0308010003,03CARN     ,31797.97,12375.97,607,38.92
0806010001,08FRUV     ,31456.02,12157.9,736,38.65
0503020038,05CHAR     ,32944.77,12154.22,707,36.89
0503020051,05CHAR     ,28764.57,12136.05,336,42.19
0806010010,08FRUV     ,34564.26,12074.25,736,34.93
0309030006,03CARN     ,29874.09,11972.14,664,40.08
0803010009,08FRUV     ,26388.86,11856.89,736,44.93
0509100036,05CHAR     ,46560.37,11722.96,450,25.18
0802010022,08FRUV     ,29165.38,11218.17,736,38.46
0504030022,05CHAR     ,32375.17,11189.07,734,34.56
0802020005,08FRUV     ,31142.37,11037.35,736,35.44
0301050001,03CARN     ,32331.83,10854.02,646,33.57
0502040028,05CHAR     ,30890.41,10842.48,656,35.1
0503020046,05CHAR     ,22312.99,10581.8,608,47.42
0509160028,05CHAR     ,27157.88,10397.64,548,38.29
0509130036,05CHAR     ,37023.61,10390.72,509,28.07
0309020013,03CARN     ,18669.74,10067.22,471,53.92
0805020011,08FRUV     ,21116.29,9769.83,733,46.27
0802010010,08FRUV     ,31700.95,9709.72,736,30.63
0802020007,08FRUV     ,27355.32,9476.37,736,34.64
0509070003,05CHAR     ,24393.63,9422.06,640,38.63
0803010022,08FRUV     ,12729.75,8619.89,641,67.71
0302010044,03CARN     ,24676.9,8457.33,668,34.27
0802010020,08FRUV     ,50511.53,8395.28,736,16.62
0803010007,08FRUV     ,17060.76,8223.84,532,48.2
0802050002,08FRUV     ,22612.26,8070.42,676,35.69
0308040005,03CARN     ,27612.7,7783.76,343,28.19
0805020001,08FRUV     ,14130.5,7760.21,736,54.92
0509160008,05CHAR     ,15750.17,7578.98,642,48.12
0801010003,08FRUV     ,10292.0,7564.38,684,73.5
0509160007,05CHAR     ,15773.81,7492.61,653,47.5
0301070005,03CARN     ,13504.68,7478.1,249,55.37
0504030027,05CHAR     ,21215.96,7431.83,709,35.03
0502040033,05CHAR     ,20984.37,7385.35,703,35.19
0802040010,08FRUV     ,12044.82,7313.23,682,60.72
0308040007,03CARN     ,31661.11,7300.37,458,23.06
0301040005,03CARN     ,23369.34,7175.05,728,30.7
0509150029,05CHAR     ,28994.83,7064.89,618,24.37
0803010028,08FRUV     ,26896.24,6930.19,736,25.77
0509160003,05CHAR     ,14246.32,6899.72,656,48.43
0502040026,05CHAR     ,20113.77,6872.83,706,34.17
0308050017,03CARN     ,13216.59,6868.53,595,51.97
0309030001,03CARN     ,15616.92,6768.23,578,43.34
0801010007,08FRUV     ,7651.5,6646.01,478,86.86
0504050003,05CHAR     ,18653.75,6609.19,733,35.43
0502040051,05CHAR     ,19282.57,6598.56,601,34.22
0309020018,03CARN     ,10271.56,6562.67,218,63.89
0801010015,08FRUV     ,13317.52,6533.94,526,49.06
0806010009,08FRUV     ,20718.35,6482.69,736,31.29
0802010006,08FRUV     ,22599.42,6463.05,733,28.6
0309030004,03CARN     ,8627.21,6365.23,355,73.78
0507020016,05CHAR     ,15352.03,6259.89,525,40.78
0502080046,05CHAR     ,17659.04,6252.96,736,35.41
0509100019,05CHAR     ,14436.79,6200.4,663,42.95
0509140014,05CHAR     ,13896.5,6195.96,590,44.59
0302010045,03CARN     ,18427.1,6188.82,671,33.59
0805020018,08FRUV     ,18450.31,6185.96,691,33.53
0802040004,08FRUV     ,12862.78,6142.96,578,47.76
0309040011,03CARN     ,7797.05,6133.92,262,78.67
0509060007,05CHAR     ,15172.02,6075.52,686,40.04
0301030002,03CARN     ,20677.08,6069.26,672,29.35
0504040015,05CHAR     ,17628.42,6028.62,703,34.2
0309030007,03CARN     ,8114.82,5866.13,370,72.29
0509180019,05CHAR     ,13523.27,5864.28,687,43.36
0802040026,08FRUV     ,9879.87,5767.6,421,58.38
0803010010,08FRUV     ,15515.46,5724.75,736,36.9
0509130013,05CHAR     ,15423.77,5683.6,717,36.85
0509090003,05CHAR     ,14543.6,5678.93,537,39.05
0805020006,08FRUV     ,15540.0,5658.79,393,36.41
0309030002,03CARN     ,8846.44,5635.53,313,63.7
0504020027,05CHAR     ,15456.54,5623.34,709,36.38
0806010005,08FRUV     ,28538.55,5521.72,731,19.35
0509100020,05CHAR     ,13634.4,5478.13,347,40.18
0309030005,03CARN     ,15519.59,5409.81,672,34.86
0806010007,08FRUV     ,18506.71,5395.09,736,29.15
0805020008,08FRUV     ,9545.95,5381.85,712,56.38
0504040014,05CHAR     ,14973.29,5332.16,727,35.61
0301010003,03CARN     ,13879.68,5306.4,244,38.23
0501040017,05CHAR     ,13507.5,5143.34,281,38.08
0504020022,05CHAR     ,16033.88,5053.33,530,31.52
0802040029,08FRUV     ,9512.29,5025.65,544,52.83
0308050004,03CARN     ,7927.41,4965.51,478,62.64
0507020023,05CHAR     ,12440.73,4935.37,504,39.67
0805020026,08FRUV     ,10696.21,4909.0,618,45.89
0509110003,05CHAR     ,9673.36,4898.41,450,50.64
0504040011,05CHAR     ,15824.15,4897.23,720,30.95
0801010004,08FRUV     ,7115.65,4891.45,650,68.74
0502090003,05CHAR     ,13062.87,4883.83,683,37.39
0509150015,05CHAR     ,13224.16,4865.99,702,36.8
0503020052,05CHAR     ,17008.75,4859.54,109,28.57
0805020022,08FRUV     ,8248.23,4835.93,661,58.63
0802040002,08FRUV     ,8771.99,4785.81,514,54.56
0802040007,08FRUV     ,6752.31,4759.55,510,70.49
0802040022,08FRUV     ,8861.13,4678.93,550,52.8
0302010028,03CARN     ,11961.96,4636.92,627,38.76
0805010066,08FRUV     ,20464.34,4598.6,219,22.47
0509160006,05CHAR     ,10784.79,4587.89,559,42.54
0803010020,08FRUV     ,7494.6,4587.08,638,61.21
0503020041,05CHAR     ,12485.84,4557.69,435,36.5
0507020008,05CHAR     ,11542.99,4491.74,539,38.91
0801010036,08FRUV     ,5944.46,4487.8,638,75.5
0309040004,03CARN     ,6805.87,4437.41,409,65.2
