clase,dia_semana,delta_revenue_mean,delta_price_mean,elasticity_mean,n
03CARN     ,0,3.8518,4.0235,-0.2945,6073
03CARN     ,1,3.8845,4.0483,-0.3189,6328
03CARN     ,2,3.9083,4.0948,-0.3449,6394
03CARN     ,3,3.6249,3.8319,-0.3447,6332
03CARN     ,4,3.6555,3.7628,-0.3564,6923
03CARN     ,5,3.9734,4.1108,-0.2836,7416
03CARN     ,6,3.9475,4.1628,-0.2565,7012
05CHAR     ,0,4.9881,4.9366,-0.3112,13367
05CHAR     ,1,5.162,5.0919,-0.2976,13764
05CHAR     ,2,5.439,5.1087,-0.3237,13764
05CHAR     ,3,5.3619,5.0885,-0.3438,13304
05CHAR     ,4,5.2869,5.1411,-0.3307,14034
05CHAR     ,5,5.2586,5.1148,-0.2856,14683
05CHAR     ,6,5.1554,5.1179,-0.2554,14061
08FRUV     ,0,8.304,8.3783,-0.1522,18311
08FRUV     ,1,7.9357,7.8972,-0.1538,18438
08FRUV     ,2,7.9105,7.8422,-0.1495,18871
08FRUV     ,3,7.8529,7.6141,-0.1566,19285
08FRUV     ,4,7.7381,7.4723,-0.1531,19725
08FRUV     ,5,8.2534,8.0318,-0.1503,20605
08FRUV     ,6,8.2587,8.2656,-0.1438,19660
