producto_id,clase,margin_base,margin_opt,revenue_base,revenue_opt,p_base_mean,p_opt_mean,n_days,margin_gap,margin_gap_pct
0802010026,08FRUV     ,-68398.31,3014.93,23964.63,88412.66,1.32,4.94,736,71413.24,714132400.0
0309020005,03CARN     ,683636.03,735289.26,1252094.25,1306549.0,12.76,13.25,736,51653.23,7.56
0308010001,03CARN     ,239628.0,265075.01,724995.4,742702.12,3.58,3.74,736,25447.01,10.62
0508010001,05CHAR     ,-25327.1,74.95,33710.97,54542.89,3.44,6.05,736,25402.05,254020500.0
0806010002,08FRUV     ,-24347.58,304.02,26061.88,49005.5,1.81,3.35,735,24651.6,246516000.0
0802010002,08FRUV     ,-22592.63,1619.3,106858.14,131911.69,1.74,2.12,736,24211.93,242119300.0
0802020012,08FRUV     ,79813.79,103742.49,281810.29,307528.92,2.04,2.21,736,23928.7,29.98
0308020003,03CARN     ,183379.24,203125.43,503457.3,520499.13,4.41,4.6,736,19746.19,10.77
0309020020,03CARN     ,271599.36,290935.66,605544.71,622485.75,10.26,10.61,736,19336.3,7.12
0509060001,05CHAR     ,173469.32,191896.14,526840.97,541228.66,7.41,7.71,736,18426.82,10.62
0308050006,03CARN     ,208445.41,226751.53,532466.46,547900.48,8.83,9.17,736,18306.12,8.78
0802050003,08FRUV     ,185852.45,201947.32,458776.71,472600.81,2.04,2.12,736,16094.87,8.66
0802010017,08FRUV     ,-15055.25,567.67,17323.26,32728.03,1.44,2.3,341,15622.92,156229200.0
0309020007,03CARN     ,19979.05,35593.04,183715.93,198663.04,6.31,6.73,732,15613.99,78.15
0803010032,08FRUV     ,47681.35,60904.42,164652.26,178207.54,2.29,2.45,736,13223.07,27.73
0802010015,08FRUV     ,-9935.31,3008.02,37721.02,50389.7,2.62,3.42,732,12943.33,129433300.0
0806010011,08FRUV     ,91217.49,103654.03,310662.67,322394.08,1.92,2.0,736,12436.54,13.63
0802010030,08FRUV     ,-12036.14,40.61,11225.8,23242.75,3.2,6.45,734,12076.75,120767500.0
0509060004,05CHAR     ,98045.88,108851.91,290885.27,300183.43,7.44,7.74,732,10806.03,11.02
0308050008,03CARN     ,108021.66,117950.94,252947.63,262162.74,9.69,10.09,736,9929.28,9.19
0301040001,03CARN     ,124930.92,134772.58,290018.96,298183.58,9.45,9.81,734,9841.66,7.88
0508010002,05CHAR     ,-8350.04,55.43,28320.38,35118.93,6.03,7.82,735,8405.47,84054700.0
0509060008,05CHAR     ,57544.53,65653.23,217418.8,224764.13,10.64,11.06,735,8108.7,14.09
0309020017,03CARN     ,140185.17,148025.94,234123.65,242026.57,13.52,13.97,736,7840.77,5.59
0806010006,08FRUV     ,61917.6,68918.91,169484.81,175941.75,1.68,1.75,736,7001.31,11.31
0802050001,08FRUV     ,38826.75,45616.75,147246.36,153919.99,1.0,1.04,736,6790.0,17.49
0802010012,08FRUV     ,34936.17,41553.8,115217.6,121288.85,1.99,2.11,736,6617.63,18.94
0509130025,05CHAR     ,79542.57,85893.3,206937.22,211042.7,8.84,9.2,730,6350.73,7.98
0308020001,03CARN     ,70673.95,76818.29,172848.11,178120.56,5.44,5.65,726,6144.34,8.69
0504030034,05CHAR     ,41888.81,47957.95,136817.27,142404.53,9.14,9.56,726,6069.14,14.49
0309020011,03CARN     ,97759.35,103256.83,173835.27,179100.7,12.77,13.22,731,5497.48,5.62
0802010020,08FRUV     ,2909.79,8395.28,45294.85,50511.53,2.28,2.49,736,5485.49,188.52
0506020001,05CHAR     ,-3462.51,1486.93,14035.86,19372.22,6.39,8.3,515,4949.44,49494400.0
0309020004,03CARN     ,64894.63,69697.08,141089.51,144783.08,10.04,10.46,734,4802.45,7.4
0509100021,05CHAR     ,63338.88,67982.35,176088.06,181359.05,14.19,14.58,735,4643.47,7.33
0802020008,08FRUV     ,41817.65,46401.12,116641.02,120787.91,2.67,2.79,736,4583.47,10.96
0502050006,05CHAR     ,-4278.93,13.11,2370.25,6812.26,2.4,6.63,446,4292.04,42920400.0
0802010024,08FRUV     ,37652.94,41424.97,90865.28,94112.54,1.23,1.29,736,3772.03,10.02
0301020003,03CARN     ,159987.44,163620.03,267997.97,268549.63,9.3,9.61,734,3632.59,2.27
0308030001,03CARN     ,40488.62,44103.96,97495.89,100105.06,3.49,3.65,720,3615.34,8.93
0806010004,08FRUV     ,-1187.96,2408.91,16439.86,20158.67,0.68,0.8,736,3596.87,35968700.0
0803010028,08FRUV     ,3374.77,6930.19,23239.79,26896.24,1.21,1.39,736,3555.42,105.35
0309020003,03CARN     ,43600.05,46692.27,94579.12,96951.33,9.98,10.39,725,3092.22,7.09
0509150023,05CHAR     ,36968.29,40029.7,98382.54,100786.92,9.47,9.82,722,3061.41,8.28
0802010019,08FRUV     ,-1428.69,1522.95,18014.33,21566.14,3.28,3.73,731,2951.64,29516400.0
0504040033,05CHAR     ,31265.83,34064.05,102905.58,105720.69,7.34,7.53,736,2798.22,8.95
0805010061,08FRUV     ,28387.74,31089.71,75319.67,77903.7,4.43,4.58,709,2701.97,9.52
0309020002,03CARN     ,50363.57,53014.23,95974.38,98165.24,12.08,12.53,559,2650.66,5.26
0509070007,05CHAR     ,31140.77,33780.91,85839.7,89238.97,13.18,13.6,624,2640.14,8.48
0806010013,08FRUV     ,23762.34,26307.46,59779.05,61976.01,1.49,1.57,736,2545.12,10.71
