clase,mes,p_base_mean,p_opt_mean,delta_price_mean,revenue_base,revenue_opt,delta_revenue_pct
03CARN     ,2025-07,7.0773,7.3125,3.6212,1077319.36,1115504.41,3.5445
03CARN     ,2025-08,7.3241,7.5631,3.3412,1155655.07,1192792.58,3.2135
03CARN     ,2025-09,7.782,8.0637,3.638,1181160.61,1220686.78,3.3464
03CARN     ,2025-10,8.5196,8.8687,4.5767,1222171.08,1255378.19,2.7171
03CARN     ,2025-11,8.298,8.6294,4.324,1131678.58,1164408.48,2.8922
03CARN     ,2025-12,8.3994,8.7447,4.4489,1297655.0,1339091.77,3.1932
05CHAR     ,2025-07,9.8575,10.235,5.0321,603032.94,634717.7,5.2542
05CHAR     ,2025-08,10.0908,10.4839,4.8335,649546.5,677600.38,4.319
05CHAR     ,2025-09,10.501,10.9401,5.095,686226.03,714135.95,4.0672
05CHAR     ,2025-10,11.2466,11.7348,5.2618,723225.55,752015.2,3.9807
05CHAR     ,2025-11,11.5413,12.0277,5.1827,710855.36,735479.93,3.4641
05CHAR     ,2025-12,11.4762,11.9524,5.1243,758847.06,788174.79,3.8648
08FRUV     ,2025-07,5.9407,6.2681,8.7776,684136.86,748158.43,9.358
08FRUV     ,2025-08,6.0181,6.3456,8.9198,703324.13,767143.53,9.074
08FRUV     ,2025-09,6.2232,6.5525,7.5236,670912.43,723718.99,7.8709
08FRUV     ,2025-10,6.6913,7.0395,6.8114,682751.45,736063.84,7.8085
08FRUV     ,2025-11,6.6975,7.0492,7.4475,669426.36,729007.7,8.9004
08FRUV     ,2025-12,6.6783,7.0379,8.0436,754491.05,812085.48,7.6335
