producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0309020005,03CARN     ,1517431.55,984515.32,736,64.88
0308010001,03CARN     ,890443.04,433030.55,736,48.63
0309020020,03CARN     ,730940.4,418736.41,736,57.29
0308050006,03CARN     ,645963.02,342342.04,736,53.0
0308020003,03CARN     ,628605.73,320961.62,736,51.06
0509060001,05CHAR     ,649656.5,314573.22,736,48.42
0802050003,08FRUV     ,562856.68,302969.92,736,53.83
0301020003,03CARN     ,314110.46,214953.02,734,68.43
0301040001,03CARN     ,345342.31,191908.68,734,55.57
0309020017,03CARN     ,276997.76,191158.29,736,69.01
0509060004,05CHAR     ,359442.37,176185.93,732,49.02
0806010011,08FRUV     ,387680.09,176136.86,736,45.43
0308050008,03CARN     ,301104.45,167423.51,736,55.6
0802020012,08FRUV     ,360664.36,161541.03,736,44.79
0309020011,03CARN     ,207583.2,137251.41,731,66.12
0509130025,05CHAR     ,256019.66,135032.63,730,52.74
0308020001,03CARN     ,216446.83,118115.61,726,54.57
0509060008,05CHAR     ,272535.69,118044.83,735,43.31
0806010006,08FRUV     ,212677.06,109029.84,736,51.27
0509100021,05CHAR     ,214498.82,107750.85,735,50.23
0309020004,03CARN     ,169640.05,98468.58,734,58.05
0803010032,08FRUV     ,207408.46,93732.83,736,45.19
0802050001,08FRUV     ,185584.26,80540.72,736,43.4
0504030034,05CHAR     ,166744.95,77568.0,726,46.52
0802020008,08FRUV     ,145632.76,73716.59,736,50.62
0309020002,03CARN     ,114139.92,72227.64,559,63.28
0309020007,03CARN     ,228649.61,70825.95,732,30.98
0309020003,03CARN     ,115895.79,67661.06,725,58.38
0802010012,08FRUV     ,145564.27,67275.89,736,46.22
0308030001,03CARN     ,121917.73,67198.27,720,55.12
0509150023,05CHAR     ,123327.4,64168.12,722,52.03
0802010024,08FRUV     ,114831.86,63167.12,736,55.01
0301020004,03CARN     ,77625.03,57082.19,538,73.54
0504040033,05CHAR     ,123076.74,56924.58,736,46.25
0308020004,03CARN     ,126277.44,55273.78,704,43.77
0309030003,03CARN     ,64812.72,54480.82,502,84.06
0509070007,05CHAR     ,106577.95,54156.83,624,50.81
0805010061,08FRUV     ,93342.33,48551.09,709,52.01
0309020010,03CARN     ,61257.27,46308.41,491,75.6
0509130028,05CHAR     ,85218.85,44845.34,719,52.62
0301020010,03CARN     ,61059.87,44600.47,311,73.04
0509100025,05CHAR     ,80693.61,40915.21,731,50.7
0806010013,08FRUV     ,76147.34,40693.75,736,53.44
0509110001,05CHAR     ,60283.29,37645.8,734,62.45
0308030003,03CARN     ,68163.14,36558.63,708,53.63
0301040003,03CARN     ,69486.89,36283.91,699,52.22
0502080091,05CHAR     ,78725.01,35066.1,733,44.54
0504030005,05CHAR     ,69464.65,32145.25,735,46.28
0501040013,05CHAR     ,69004.5,31068.06,615,45.02
0802040020,08FRUV     ,50221.89,31030.96,731,61.79
0506010001,05CHAR     ,46742.04,30964.71,538,66.25
0509150008,05CHAR     ,59301.57,30274.46,724,51.05
0301040002,03CARN     ,56314.54,29934.45,560,53.16
0802040006,08FRUV     ,45812.94,29863.41,731,65.19
0504040022,05CHAR     ,60646.43,29196.91,735,48.14
