clase,dia_semana,delta_revenue_mean,delta_price_mean,elasticity_mean,n
03CARN     ,0,22.7147,28.9043,-0.2945,6073
03CARN     ,1,23.0389,28.9496,-0.3189,6328
03CARN     ,2,23.2717,29.0936,-0.3449,6394
03CARN     ,3,22.8057,28.9907,-0.3447,6332
03CARN     ,4,22.7483,29.13,-0.3564,6923
03CARN     ,5,24.463,29.3748,-0.2836,7416
03CARN     ,6,24.6023,29.3811,-0.2565,7012
05CHAR     ,0,22.2102,29.1548,-0.3112,13367
05CHAR     ,1,22.5524,29.3551,-0.2976,13764
05CHAR     ,2,23.2965,29.3066,-0.3237,13764
05CHAR     ,3,22.561,29.1971,-0.3438,13304
05CHAR     ,4,22.7717,29.5306,-0.3307,14034
05CHAR     ,5,24.198,29.9803,-0.2856,14683
05CHAR     ,6,24.6897,30.0402,-0.2554,14061
08FRUV     ,0,28.8865,32.8135,-0.1522,18311
08FRUV     ,1,28.6914,32.4429,-0.1538,18438
08FRUV     ,2,28.6214,32.4575,-0.1495,18871
08FRUV     ,3,28.6402,32.3295,-0.1566,19285
08FRUV     ,4,28.4372,32.2257,-0.1531,19725
08FRUV     ,5,29.5154,32.629,-0.1503,20605
08FRUV     ,6,29.7395,32.8216,-0.1438,19660
