producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0309020005,03CARN     ,1343212.81,778224.77,736,57.94
0309020020,03CARN     ,650443.16,322554.07,736,49.59
0308010001,03CARN     ,772686.88,299645.8,736,38.78
0308050006,03CARN     ,572807.23,254547.22,736,44.44
0308020003,03CARN     ,542264.39,227737.38,736,42.0
0802050003,08FRUV     ,493321.71,224500.99,736,45.51
0509060001,05CHAR     ,564152.94,219137.53,736,38.84
0301020003,03CARN     ,282484.23,178565.3,734,63.21
0309020017,03CARN     ,247603.15,155111.51,736,62.65
0301040001,03CARN     ,311573.3,149667.18,734,48.04
0308050008,03CARN     ,270445.34,127382.18,736,47.1
0509060004,05CHAR     ,312104.34,122912.32,732,39.38
0806010011,08FRUV     ,336409.82,119220.91,736,35.44
0802020012,08FRUV     ,318422.37,115794.44,736,36.37
0309020011,03CARN     ,183314.39,108260.72,731,59.06
0509130025,05CHAR     ,219370.23,95272.91,730,43.43
0308020001,03CARN     ,185596.02,85306.45,726,45.96
0806010006,08FRUV     ,183370.53,77340.3,736,42.18
0509100021,05CHAR     ,187338.08,76165.19,735,40.66
0309020004,03CARN     ,150268.89,75855.3,734,50.48
0509060008,05CHAR     ,233814.25,75765.09,735,32.4
0803010032,08FRUV     ,183692.42,67308.56,736,36.64
0309020002,03CARN     ,100986.46,56374.61,559,55.82
0504030034,05CHAR     ,147364.35,53818.31,726,36.52
0802050001,08FRUV     ,160693.72,52856.22,736,32.89
0802020008,08FRUV     ,125810.8,52238.72,736,41.52
0309020003,03CARN     ,100954.64,51209.01,725,50.72
0308030001,03CARN     ,104504.76,48805.07,720,46.7
0802010012,08FRUV     ,126066.07,46742.92,736,37.08
0301020004,03CARN     ,67880.65,46596.98,538,68.65
0802010024,08FRUV     ,98427.85,45946.09,736,46.68
0309030003,03CARN     ,55903.95,45384.17,502,81.18
0509150023,05CHAR     ,104899.87,44824.13,722,42.73
0309020007,03CARN     ,204219.79,42294.03,732,20.71
0509070007,05CHAR     ,92284.12,37750.83,624,40.91
0504040033,05CHAR     ,108081.27,37458.28,736,34.66
0309020010,03CARN     ,52657.54,37054.27,491,70.37
0308020004,03CARN     ,111754.09,36669.69,704,32.81
0301020010,03CARN     ,53652.3,36500.45,311,68.03
0805010061,08FRUV     ,81840.61,35331.29,709,43.17
0509130028,05CHAR     ,72494.88,31076.79,719,42.87
0509110001,05CHAR     ,53499.99,29415.57,734,54.98
0806010013,08FRUV     ,64946.11,29277.11,736,45.08
0509100025,05CHAR     ,69484.34,28475.3,731,40.98
0301040003,03CARN     ,61289.35,26478.93,699,43.2
0308030003,03CARN     ,58741.24,26431.85,708,45.0
0506010001,05CHAR     ,42119.44,25072.88,538,59.53
0802040020,08FRUV     ,43144.27,23595.23,731,54.69
0802040006,08FRUV     ,39634.5,23247.37,731,58.65
0309020015,03CARN     ,33623.31,22958.03,435,68.28
0504030005,05CHAR     ,61609.33,22311.71,735,36.21
0502080091,05CHAR     ,68403.0,22260.84,733,32.54
0501040013,05CHAR     ,62704.52,22221.86,615,35.44
0301040002,03CARN     ,48837.4,21613.81,560,44.26
0509150008,05CHAR     ,50899.32,21188.44,724,41.63
0803010012,08FRUV     ,40897.98,20322.62,736,49.69
0802040023,08FRUV     ,39839.62,20250.99,713,50.83
0504040022,05CHAR     ,53270.05,20096.25,735,37.73
0309040003,03CARN     ,41497.89,19602.22,327,47.24
0301020002,03CARN     ,34324.88,19413.08,210,56.56
0509130023,05CHAR     ,46999.14,19120.01,732,40.68
0504040030,05CHAR     ,50518.45,18852.65,719,37.32
0309020008,03CARN     ,58973.07,18712.68,725,31.73
0504040012,05CHAR     ,51087.43,18305.42,735,35.83
0504030042,05CHAR     ,53385.22,17978.55,736,33.68
0803010051,08FRUV     ,46639.38,17929.5,736,38.44
0309040007,03CARN     ,22523.03,17745.76,181,78.79
0802030005,08FRUV     ,46535.75,17674.24,736,37.98
0301020005,03CARN     ,30787.76,17564.04,393,57.05
0308040003,03CARN     ,57583.31,17522.39,733,30.43
0802030006,08FRUV     ,44970.27,17175.93,736,38.19
0309040010,03CARN     ,27230.98,16983.55,562,62.37
0509090014,05CHAR     ,50195.77,16824.18,514,33.52
0802030009,08FRUV     ,37567.74,16346.97,684,43.51
