clase,dia_semana,delta_revenue_mean,delta_price_mean,elasticity_mean,n
03CARN     ,0,8.0521,8.9619,-0.2945,6073
03CARN     ,1,8.1576,9.0327,-0.3189,6328
03CARN     ,2,8.1876,9.0429,-0.3449,6394
03CARN     ,3,7.8006,8.725,-0.3447,6332
03CARN     ,4,7.7639,8.8019,-0.3564,6923
03CARN     ,5,8.2712,9.2715,-0.2836,7416
03CARN     ,6,8.332,9.3255,-0.2565,7012
05CHAR     ,0,8.5753,9.2951,-0.3112,13367
05CHAR     ,1,8.7526,9.4666,-0.2976,13764
05CHAR     ,2,9.1306,9.2646,-0.3237,13764
05CHAR     ,3,8.9227,9.2134,-0.3438,13304
05CHAR     ,4,8.8644,9.4965,-0.3307,14034
05CHAR     ,5,9.1081,9.668,-0.2856,14683
05CHAR     ,6,9.1047,9.8284,-0.2554,14061
08FRUV     ,0,12.5495,13.2822,-0.1522,18311
08FRUV     ,1,12.2432,12.8749,-0.1538,18438
08FRUV     ,2,12.2428,12.7953,-0.1495,18871
08FRUV     ,3,12.1829,12.6319,-0.1566,19285
08FRUV     ,4,12.0099,12.53,-0.1531,19725
08FRUV     ,5,12.6801,13.0742,-0.1503,20605
08FRUV     ,6,12.7195,13.268,-0.1438,19660
