producto_id,clase,margin_base,margin_opt,revenue_base,revenue_opt,p_base_mean,p_opt_mean,n_days,margin_gap,margin_gap_pct
0309020005,03CARN     ,683636.03,778224.77,1252094.25,1343212.81,12.76,13.75,736,94588.74,13.84
0802010026,08FRUV     ,-68398.31,3296.99,23964.63,88687.43,1.32,4.96,736,71695.3,716953000.0
0308010001,03CARN     ,239628.0,299645.8,724995.4,772686.88,3.58,3.92,736,60017.8,25.05
0309020020,03CARN     ,271599.36,322554.07,605544.71,650443.16,10.26,11.2,736,50954.71,18.76
0308050006,03CARN     ,208445.41,254547.22,532466.46,572807.23,8.83,9.67,736,46101.81,22.12
0509060001,05CHAR     ,173469.32,219137.53,526840.97,564152.94,7.41,8.13,736,45668.21,26.33
0308020003,03CARN     ,183379.24,227737.38,503457.3,542264.39,4.41,4.84,736,44358.14,24.19
0802050003,08FRUV     ,185852.45,224500.99,458776.71,493321.71,2.04,2.23,736,38648.54,20.8
0802020012,08FRUV     ,79813.79,115794.44,281810.29,318422.37,2.04,2.3,736,35980.65,45.08
0806010011,08FRUV     ,91217.49,119220.91,310662.67,336409.82,1.92,2.11,736,28003.42,30.7
0508010001,05CHAR     ,-25327.1,74.95,33710.97,54542.89,3.44,6.05,736,25402.05,254020500.0
0802010002,08FRUV     ,-22592.63,2551.59,106858.14,132852.31,1.74,2.13,736,25144.22,251442200.0
0509060004,05CHAR     ,98045.88,122912.32,290885.27,312104.34,7.44,8.14,732,24866.44,25.36
0806010002,08FRUV     ,-24347.58,408.91,26061.88,49105.59,1.81,3.36,735,24756.49,247564900.0
0301040001,03CARN     ,124930.92,149667.18,290018.96,311573.3,9.45,10.36,734,24736.26,19.8
0309020007,03CARN     ,19979.05,42294.03,183715.93,204219.79,6.31,7.01,732,22314.98,111.69
0803010032,08FRUV     ,47681.35,67308.56,164652.26,183692.42,2.29,2.55,736,19627.21,41.16
0308050008,03CARN     ,108021.66,127382.18,252947.63,270445.34,9.69,10.52,736,19360.52,17.92
0301020003,03CARN     ,159987.44,178565.3,267997.97,282484.23,9.3,10.21,734,18577.86,11.61
0509060008,05CHAR     ,57544.53,75765.09,217418.8,233814.25,10.64,11.6,735,18220.56,31.66
0509130025,05CHAR     ,79542.57,95272.91,206937.22,219370.23,8.84,9.63,730,15730.34,19.78
0802010017,08FRUV     ,-15055.25,639.18,17323.26,32809.87,1.44,2.32,341,15694.43,156944300.0
0806010006,08FRUV     ,61917.6,77340.3,169484.81,183370.53,1.68,1.84,736,15422.7,24.91
0309020017,03CARN     ,140185.17,155111.51,234123.65,247603.15,13.52,14.51,736,14926.34,10.65
0308020001,03CARN     ,70673.95,85306.45,172848.11,185596.02,5.44,5.95,726,14632.5,20.7
0802050001,08FRUV     ,38826.75,52856.22,147246.36,160693.72,1.0,1.09,736,14029.47,36.13
0802010015,08FRUV     ,-9935.31,3436.41,37721.02,50759.8,2.62,3.46,732,13371.72,133717200.0
0509100021,05CHAR     ,63338.88,76165.19,176088.06,187338.08,14.19,15.35,735,12826.31,20.25
0802010030,08FRUV     ,-12036.14,40.61,11225.8,23242.75,3.2,6.45,734,12076.75,120767500.0
0504030034,05CHAR     ,41888.81,53818.31,136817.27,147364.35,9.14,9.99,726,11929.5,28.48
0802010012,08FRUV     ,34936.17,46742.92,115217.6,126066.07,1.99,2.21,736,11806.75,33.8
0309020004,03CARN     ,64894.63,75855.3,141089.51,150268.89,10.04,10.95,734,10960.67,16.89
0309020011,03CARN     ,97759.35,108260.72,173835.27,183314.39,12.77,13.69,731,10501.37,10.74
0802020008,08FRUV     ,41817.65,52238.72,116641.02,125810.8,2.67,2.94,736,10421.07,24.92
0508010002,05CHAR     ,-8350.04,55.43,28320.38,35118.93,6.03,7.82,735,8405.47,84054700.0
0308030001,03CARN     ,40488.62,48805.07,97495.89,104504.76,3.49,3.83,720,8316.45,20.54
0802010024,08FRUV     ,37652.94,45946.09,90865.28,98427.85,1.23,1.35,736,8293.15,22.03
0509150023,05CHAR     ,36968.29,44824.13,98382.54,104899.87,9.47,10.33,722,7855.84,21.25
0308020004,03CARN     ,28890.11,36669.69,105658.39,111754.09,6.09,6.59,704,7779.58,26.93
0309020003,03CARN     ,43600.05,51209.01,94579.12,100954.64,9.98,10.92,725,7608.96,17.45
0802010020,08FRUV     ,2909.79,10020.5,45294.85,51928.31,2.28,2.59,736,7110.71,244.37
0805010061,08FRUV     ,28387.74,35331.29,75319.67,81840.61,4.43,4.86,709,6943.55,24.46
0509070007,05CHAR     ,31140.77,37750.83,85839.7,92284.12,13.18,14.31,624,6610.06,21.23
0504040033,05CHAR     ,31265.83,37458.28,102905.58,108081.27,7.34,7.8,736,6192.45,19.81
0309020002,03CARN     ,50363.57,56374.61,95974.38,100986.46,12.08,13.08,559,6011.04,11.94
0806010013,08FRUV     ,23762.34,29277.11,59779.05,64946.11,1.49,1.64,736,5514.77,23.21
0509100025,05CHAR     ,23305.48,28475.3,65168.77,69484.34,11.93,13.01,731,5169.82,22.18
0504030005,05CHAR     ,17169.08,22311.71,56724.25,61609.33,8.48,9.27,735,5142.63,29.95
0506020001,05CHAR     ,-3462.51,1619.01,14035.86,19484.22,6.39,8.38,515,5081.52,50815200.0
0509130028,05CHAR     ,26132.12,31076.79,67976.42,72494.88,9.98,10.77,719,4944.67,18.92
