clase,bin,count
03CARN     ,-30 a -20%,0
03CARN     ,-20 a -10%,207
03CARN     ,-10 a -5%,1996
03CARN     ,-5 a -1%,3241
03CARN     ,Sin cambio,4221
03CARN     ,+1 a +5%,6743
03CARN     ,+5 a +10%,72330
03CARN     ,+10 a +20%,54629
03CARN     ,+20 a +30%,1274
05CHAR     ,-30 a -20%,0
05CHAR     ,-20 a -10%,1739
05CHAR     ,-10 a -5%,14629
05CHAR     ,-5 a -1%,12510
05CHAR     ,Sin cambio,12543
05CHAR     ,+1 a +5%,24023
05CHAR     ,+5 a +10%,157775
05CHAR     ,+10 a +20%,78086
05CHAR     ,+20 a +30%,507
08FRUV     ,-30 a -20%,0
08FRUV     ,-20 a -10%,52
08FRUV     ,-10 a -5%,924
08FRUV     ,-5 a -1%,2060
08FRUV     ,Sin cambio,5045
08FRUV     ,+1 a +5%,11781
08FRUV     ,+5 a +10%,210968
08FRUV     ,+10 a +20%,186886
08FRUV     ,+20 a +30%,2757
