clase,mes,p_base_mean,p_opt_mean,delta_price_mean,revenue_base,revenue_opt,delta_revenue_pct
03CARN     ,2023-10,5.9453,6.4875,11.3511,464278.18,507464.8,9.3019
03CARN     ,2023-11,6.2141,6.787,11.5409,471299.16,511476.49,8.5248
03CARN     ,2023-12,6.3199,6.8862,10.7755,604713.09,653740.8,8.1076
03CARN     ,2024-01,6.1599,6.7405,11.2148,501253.72,544366.07,8.6009
03CARN     ,2024-02,6.068,6.6044,10.0561,495774.62,538951.05,8.7089
03CARN     ,2024-03,5.9414,6.4513,10.2023,543801.21,593124.73,9.0701
03CARN     ,2024-04,5.9467,6.4615,10.4632,539174.94,584410.06,8.3897
03CARN     ,2024-05,6.1642,6.699,10.2278,612066.41,659124.48,7.6884
03CARN     ,2024-06,6.298,6.8184,9.5716,656402.72,700812.78,6.7657
03CARN     ,2024-07,6.495,7.0528,9.5443,788257.17,836570.6,6.1291
03CARN     ,2024-08,6.8595,7.4231,9.7349,776212.42,823578.46,6.1022
03CARN     ,2024-09,6.719,7.3087,10.1878,831755.99,888310.73,6.7994
03CARN     ,2024-10,6.6546,7.2253,10.5494,805663.11,874899.18,8.5937
03CARN     ,2024-12,6.5044,7.0811,10.3411,896909.74,985289.07,9.8538
03CARN     ,2025-01,6.8083,7.4047,10.678,869372.46,951154.66,9.407
03CARN     ,2025-02,6.856,7.4517,10.4751,807224.97,886359.64,9.8033
03CARN     ,2025-03,6.9814,7.5805,9.7244,987249.47,1076388.46,9.029
03CARN     ,2025-04,7.7536,8.4159,8.8605,947812.2,1014226.37,7.0071
03CARN     ,2025-05,7.4451,8.0644,8.6832,1068083.45,1137535.68,6.5025
03CARN     ,2025-06,7.0164,7.5971,8.5667,1079836.08,1159930.85,7.4173
03CARN     ,2025-07,7.0773,7.6651,8.6306,1077319.36,1155532.37,7.26
03CARN     ,2025-08,7.3241,7.9436,8.6024,1155655.07,1237886.57,7.1156
03CARN     ,2025-09,7.782,8.4661,8.8454,1181160.61,1270107.02,7.5304
05CHAR     ,2023-10,9.6331,10.2443,6.1954,311947.62,336934.32,8.0099
05CHAR     ,2023-11,9.5281,10.0989,5.8935,315876.62,339411.27,7.4506
05CHAR     ,2023-12,9.4807,10.0959,6.5489,362050.35,387370.52,6.9935
05CHAR     ,2024-01,9.5363,10.1463,6.5488,328399.87,349697.77,6.4854
05CHAR     ,2024-02,9.4713,10.071,6.2379,316394.05,332430.53,5.0685
05CHAR     ,2024-03,9.3991,10.0705,6.9036,360701.68,381596.65,5.7929
05CHAR     ,2024-04,9.0386,9.7037,7.088,361652.61,384324.7,6.269
05CHAR     ,2024-05,8.8804,9.5312,6.9363,379059.52,402571.68,6.2028
05CHAR     ,2024-06,8.9926,9.6376,6.7849,372099.19,399283.55,7.3057
05CHAR     ,2024-07,8.9711,9.6417,7.167,425003.29,456763.6,7.473
05CHAR     ,2024-08,9.2544,9.9115,6.7543,448371.72,480792.16,7.2307
05CHAR     ,2024-09,9.7896,10.5048,6.8782,475138.55,508609.85,7.0445
05CHAR     ,2024-10,9.9806,10.7263,7.0803,494030.81,527526.42,6.7801
05CHAR     ,2024-12,9.8016,10.5864,9.6993,502393.75,545725.54,8.6251
05CHAR     ,2025-01,10.5962,11.4392,8.8038,540620.17,586261.12,8.4423
05CHAR     ,2025-02,10.5196,11.3324,8.6468,503044.62,546989.12,8.7357
05CHAR     ,2025-03,10.1585,10.9233,8.3188,591163.7,639714.88,8.2128
05CHAR     ,2025-04,10.2492,11.1157,9.585,599444.28,645236.04,7.639
05CHAR     ,2025-05,10.27,11.1632,9.8061,617770.6,668091.74,8.1456
05CHAR     ,2025-06,10.1,10.9365,9.0965,596179.91,647537.36,8.6144
05CHAR     ,2025-07,9.8575,10.6842,9.3702,603032.94,655860.05,8.7602
05CHAR     ,2025-08,10.0908,10.9567,9.3923,649546.5,701856.03,8.0532
05CHAR     ,2025-09,10.501,11.4232,9.6161,686226.03,740135.08,7.8559
08FRUV     ,2023-10,4.2411,4.6612,10.9545,403831.58,450211.94,11.4851
08FRUV     ,2023-11,3.9584,4.3494,10.9546,372718.48,416174.19,11.6591
08FRUV     ,2023-12,4.1091,4.5056,10.626,442884.68,486274.05,9.797
08FRUV     ,2024-01,3.5573,3.9053,10.8191,392592.05,434128.31,10.58
08FRUV     ,2024-02,3.853,4.2264,10.6454,376188.74,414878.51,10.2847
08FRUV     ,2024-03,3.7683,4.1405,10.6986,432587.11,477878.92,10.47
08FRUV     ,2024-04,3.7701,4.1336,10.4775,396177.94,439078.73,10.8287
08FRUV     ,2024-05,3.747,4.1485,12.2612,407517.55,451144.81,10.7056
08FRUV     ,2024-06,4.4228,4.8636,11.2872,450541.16,499850.57,10.9445
08FRUV     ,2024-07,4.5486,4.9988,10.9603,515398.01,568950.28,10.3905
08FRUV     ,2024-08,4.5869,5.0403,11.2894,555827.86,615602.87,10.7542
08FRUV     ,2024-09,4.491,4.9374,11.5442,516007.69,574957.48,11.4242
08FRUV     ,2024-10,4.5715,5.0266,10.9562,557725.89,616704.71,10.5749
08FRUV     ,2024-12,4.6272,5.1327,17.647,594349.49,676459.8,13.8152
08FRUV     ,2025-01,5.0461,5.5685,14.4936,697778.1,792032.0,13.5077
08FRUV     ,2025-02,4.8545,5.3693,14.9312,586635.15,673032.69,14.7276
08FRUV     ,2025-03,4.7991,5.3169,15.0762,674570.22,780382.04,15.6858
08FRUV     ,2025-04,5.5294,6.1281,14.5297,663745.83,759136.59,14.3716
08FRUV     ,2025-05,5.7322,6.3443,14.3018,646378.2,746007.81,15.4135
08FRUV     ,2025-06,5.7568,6.3726,14.2895,638149.11,732344.35,14.7607
08FRUV     ,2025-07,5.9407,6.5671,13.7148,684136.86,777500.53,13.6469
08FRUV     ,2025-08,6.0181,6.6486,13.8954,703324.13,796672.05,13.2724
08FRUV     ,2025-09,6.2232,6.8664,12.5306,670912.43,752994.08,12.2343
