feature,psi
precio_mean_clase,6.129544875545638
mes_sin,5.646792564909849
mes,5.646041458180794
semana_año,2.974474895729067
mes_cos,2.916416260631866
precio_var_7d,1.2412423145697196
precio_var_1d,0.8428038314773441
margen_pct,0.19828297372178236
precio_vs_historico,0.15024082807484523
precio_vs_clase,0.11084055923652651
precio_unitario_usd,0.09560497430085674
precio_mean_7d,0.09268283447934324
precio_historico_producto,0.08936518744937014
precio_mean_30d,0.08713674682082875
precio_medio_usd,0.07918826323671604
variabilidad_demanda,0.029885939480236833
unidades_min_30d,0.018104563198155326
unidades_min_14d,0.01443656446368135
precio_x_finsemana,0.010166498258172604
unidades_mean_30d,0.005586523291495782
unidades_mean_14d,0.0050456585557175
unidades_mean_7d,0.003698075449827347
unidades_max_30d,0.00295136003701835
dias_para_fin_mes,0.002940788298830198
unidades_max_14d,0.0028460671280759967
unidades_lag_7,0.002732889098666984
unidades_lag_1,0.0025571442094440254
unidades_lag_14,0.0024830095952221463
unidades_lag_28,0.0024517416245581755
unidades_trend_14d,0.002385224972768125
unidades_std_30d,0.0019946126922083646
dia_mes,0.0017338633055829313
unidades_std_14d,0.0015832920229913751
unidades_std_7d,0.0013010870890778452
dia_semana,0.00017655728713032886
dia_semana_sin,0.00017287083309954398
dia_semana_cos,0.00017136877191437796
dias_en_promocion,0.0
dias_desde_promo,0.0
